排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
1,2048,10240,20480,6051.99,TOPS,5595.00,1.082
2,2048,5120,49152,6374.96,TOPS,5912.00,1.078
3,3072,5120,36864,6311.69,TOPS,5899.00,1.070
4,2048,5120,73728,6579.89,TOPS,6174.00,1.066
5,5120,2048,34816,6276.74,TOPS,5899.00,1.064
6,5120,2048,57344,6429.98,TOPS,6043.00,1.064
7,1024,10240,47104,6267.01,TOPS,5899.00,1.062
8,2048,10240,18432,6018.92,TOPS,5675.00,1.061
9,2048,5120,69632,6561.54,TOPS,6187.00,1.061
10,1024,10240,57344,6412.33,TOPS,6056.00,1.059
11,4096,5120,18432,6005.70,TOPS,5691.00,1.055
12,2048,5120,81920,6643.33,TOPS,6302.00,1.054
13,3072,5120,47104,6488.40,TOPS,6155.00,1.054
14,3072,5120,43008,6447.58,TOPS,6123.00,1.053
15,10240,1024,51200,6371.90,TOPS,6059.00,1.052
16,2048,5120,88064,6710.67,TOPS,6379.00,1.052
17,5120,2048,73728,6558.71,TOPS,6235.00,1.052
18,5120,4096,22528,6086.85,TOPS,5787.00,1.052
19,2048,10240,28672,6265.34,TOPS,5963.00,1.051
20,5120,2048,77824,6601.07,TOPS,6283.00,1.051
21,2048,5120,61440,6494.30,TOPS,6187.00,1.050
22,2048,5120,86016,6656.04,TOPS,6347.00,1.049
23,2048,10240,40960,6506.94,TOPS,6206.00,1.048
24,2048,10240,43008,6536.97,TOPS,6235.00,1.048
25,2048,5120,94208,6715.99,TOPS,6411.00,1.048
26,1024,10240,65536,6493.86,TOPS,6203.00,1.047
27,2048,5120,79872,6644.40,TOPS,6347.00,1.047
28,2048,5120,98304,6734.83,TOPS,6430.00,1.047
29,2048,7168,34816,5874.17,TOPS,5611.00,1.047
30,3072,5120,40960,6375.62,TOPS,6091.00,1.047
31,5120,4096,28672,6293.56,TOPS,6011.00,1.047
32,2048,10240,16384,6033.65,TOPS,5771.00,1.046
33,5120,2048,67584,6552.89,TOPS,6267.00,1.046
34,5120,3072,45056,6458.29,TOPS,6174.00,1.046
35,5120,3072,53248,6540.55,TOPS,6251.00,1.046
36,5120,4096,14336,6072.21,TOPS,5803.00,1.046
37,2048,10240,32768,6382.43,TOPS,6107.00,1.045
38,2048,10240,36864,6466.41,TOPS,6187.00,1.045
39,5120,5120,20480,6082.23,TOPS,5819.00,1.045
40,10240,1024,36864,6241.80,TOPS,5976.00,1.044
41,3072,5120,49152,6486.77,TOPS,6216.00,1.044
42,4096,5120,36864,6459.96,TOPS,6187.00,1.044
43,5120,3072,36864,6320.09,TOPS,6056.00,1.044
44,5120,5120,14336,5825.40,TOPS,5579.00,1.044
45,2048,7168,32768,5885.99,TOPS,5643.00,1.043
46,5120,2048,61440,6531.27,TOPS,6264.00,1.043
47,2048,10240,45056,6565.53,TOPS,6299.00,1.042
48,2048,5120,83968,6650.09,TOPS,6379.00,1.042
49,5120,2048,65536,6529.15,TOPS,6267.00,1.042
50,5120,2048,88064,6698.04,TOPS,6427.00,1.042
51,5120,3072,47104,6476.87,TOPS,6216.00,1.042
52,10240,1024,38912,6187.96,TOPS,5947.00,1.041
53,10240,1024,40960,6277.08,TOPS,6027.00,1.041
54,1024,10240,32768,6219.74,TOPS,5976.00,1.041
55,4096,5120,28672,6291.93,TOPS,6043.00,1.041
56,10240,1024,45056,6298.56,TOPS,6056.00,1.040
57,2048,10240,30720,6369.83,TOPS,6123.00,1.040
58,2048,10240,47104,6584.69,TOPS,6334.00,1.040
59,3072,10240,14336,5837.54,TOPS,5611.00,1.040
60,5120,3072,43008,6452.01,TOPS,6203.00,1.040
61,2048,5120,112640,6779.38,TOPS,6523.00,1.039
62,2048,7168,28672,5802.11,TOPS,5592.00,1.038
63,3072,10240,16384,5939.20,TOPS,5723.00,1.038
64,3072,5120,55296,6558.08,TOPS,6315.00,1.038
65,5120,2048,83968,6636.21,TOPS,6395.00,1.038
66,5120,4096,18432,5956.38,TOPS,5736.00,1.038
67,10240,1024,43008,6318.08,TOPS,6091.00,1.037
68,10240,1024,49152,6331.13,TOPS,6104.00,1.037
69,10240,1024,55296,6397.85,TOPS,6171.00,1.037
70,5120,4096,26624,6179.88,TOPS,5960.00,1.037
71,5120,5120,16384,5900.44,TOPS,5691.00,1.037
72,1024,9216,30720,5722.04,TOPS,5531.00,1.035
73,3072,3072,47104,5707.21,TOPS,5512.00,1.035
74,4096,6144,18432,5823.92,TOPS,5627.00,1.035
75,5120,2048,75776,6585.30,TOPS,6363.00,1.035
76,5120,3072,49152,6500.72,TOPS,6283.00,1.035
77,2048,10240,38912,6499.41,TOPS,6283.00,1.034
78,4096,5120,43008,6547.99,TOPS,6331.00,1.034
79,5120,2048,81920,6627.25,TOPS,6411.00,1.034
80,2048,5120,108544,6757.97,TOPS,6539.00,1.033
81,2048,7168,43008,6077.42,TOPS,5883.00,1.033
82,5120,2048,90112,6685.53,TOPS,6475.00,1.033
83,2048,7168,26624,5771.02,TOPS,5592.00,1.032
84,3072,3072,45056,5690.17,TOPS,5515.00,1.032
85,3072,8192,20480,5805.11,TOPS,5627.00,1.032
86,2048,5120,118784,6826.89,TOPS,6619.00,1.031
87,2048,5120,122880,6796.39,TOPS,6590.00,1.031
88,3072,8192,16384,5705.17,TOPS,5531.00,1.031
89,5120,3072,55296,6577.40,TOPS,6382.00,1.031
90,1024,9216,38912,5595.95,TOPS,5432.00,1.030
91,1024,9216,47104,5714.90,TOPS,5547.00,1.030
92,2048,7168,47104,6090.62,TOPS,5915.00,1.030
93,3072,3072,36864,5644.80,TOPS,5483.00,1.030
94,3072,5120,61440,6617.16,TOPS,6427.00,1.030
95,3072,5120,63488,6650.40,TOPS,6459.00,1.030
96,3072,8192,18432,5776.87,TOPS,5611.00,1.030
97,5120,2048,92160,6684.43,TOPS,6491.00,1.030
98,2048,5120,124928,6796.38,TOPS,6606.00,1.029
99,4096,5120,38912,6462.88,TOPS,6283.00,1.029
100,4096,5120,40960,6496.29,TOPS,6315.00,1.029
101,4096,6144,16384,5707.01,TOPS,5547.00,1.029
102,5120,3072,40960,6399.67,TOPS,6219.00,1.029
103,5120,3072,59392,6581.36,TOPS,6398.00,1.029
104,10240,1024,34816,6257.83,TOPS,6088.00,1.028
105,2048,7168,36864,5933.66,TOPS,5771.00,1.028
106,3072,3072,38912,5667.81,TOPS,5515.00,1.028
107,3072,3072,51200,5752.00,TOPS,5595.00,1.028
108,1024,9216,45056,5681.13,TOPS,5531.00,1.027
109,2048,10240,57344,6712.90,TOPS,6539.00,1.027
110,2048,5120,120832,6796.66,TOPS,6619.00,1.027
111,2048,9216,20480,5541.94,TOPS,5397.00,1.027
112,3072,5120,65536,6651.37,TOPS,6475.00,1.027
113,5120,5120,18432,6010.12,TOPS,5851.00,1.027
114,1024,9216,53248,5739.26,TOPS,5595.00,1.026
115,2048,5120,102400,6757.02,TOPS,6587.00,1.026
116,2048,5120,116736,6760.43,TOPS,6587.00,1.026
117,3072,3072,53248,5788.50,TOPS,5640.00,1.026
118,4096,6144,20480,5889.70,TOPS,5739.00,1.026
119,5120,2048,114688,6777.44,TOPS,6603.00,1.026
120,5120,4096,34816,6379.09,TOPS,6219.00,1.026
121,2048,10240,61440,6722.54,TOPS,6558.00,1.025
122,2048,5120,114688,6787.63,TOPS,6619.00,1.025
123,3072,5120,69632,6685.22,TOPS,6523.00,1.025
124,5120,2048,106496,6765.65,TOPS,6603.00,1.025
125,5120,4096,32768,6340.29,TOPS,6187.00,1.025
126,2048,7168,22528,5792.71,TOPS,5659.00,1.024
127,2048,7168,49152,6089.11,TOPS,5944.00,1.024
128,4096,10240,12288,5827.49,TOPS,5691.00,1.024
129,5120,4096,36864,6434.62,TOPS,6283.00,1.024
130,5120,4096,43008,6531.63,TOPS,6379.00,1.024
131,1024,9216,55296,5771.59,TOPS,5643.00,1.023
132,3072,5120,77824,6724.61,TOPS,6571.00,1.023
133,4096,5120,45056,6557.61,TOPS,6411.00,1.023
134,3072,5120,79872,6733.61,TOPS,6587.00,1.022
135,5120,3072,63488,6618.85,TOPS,6475.00,1.022
136,5120,4096,38912,6456.57,TOPS,6315.00,1.022
137,3072,3072,43008,5645.56,TOPS,5528.00,1.021
138,7168,2048,32768,5838.12,TOPS,5720.00,1.021
139,3072,10240,26624,6343.98,TOPS,6219.00,1.020
140,3072,5120,67584,6689.21,TOPS,6558.00,1.020
141,5120,2048,94208,6704.21,TOPS,6571.00,1.020
142,5120,3072,61440,6621.01,TOPS,6491.00,1.020
143,2048,7168,45056,6074.80,TOPS,5963.00,1.019
144,2048,7168,55296,6159.03,TOPS,6043.00,1.019
145,3072,10240,28672,6402.71,TOPS,6283.00,1.019
146,5120,2048,102400,6733.45,TOPS,6606.00,1.019
147,5120,3072,57344,6580.48,TOPS,6459.00,1.019
148,1024,9216,51200,5708.67,TOPS,5608.00,1.018
149,2048,10240,63488,6739.94,TOPS,6622.00,1.018
150,2048,7168,51200,6118.08,TOPS,6011.00,1.018
151,2048,7168,53248,6136.51,TOPS,6027.00,1.018
152,2048,9216,24576,5600.28,TOPS,5499.00,1.018
153,3072,3072,40960,5662.39,TOPS,5560.00,1.018
154,5120,4096,45056,6544.48,TOPS,6427.00,1.018
155,1024,9216,49152,5685.85,TOPS,5592.00,1.017
156,3072,8192,14336,5687.15,TOPS,5592.00,1.017
157,4096,10240,10240,5670.92,TOPS,5576.00,1.017
158,4096,5120,53248,6651.98,TOPS,6539.00,1.017
159,5120,2048,110592,6779.59,TOPS,6667.00,1.017
160,5120,6144,14336,5835.00,TOPS,5736.00,1.017
161,3072,8192,24576,6044.72,TOPS,5947.00,1.016
162,2048,7168,40960,6021.80,TOPS,5931.00,1.015
163,2048,9216,28672,5681.59,TOPS,5595.00,1.015
164,3072,5120,81920,6752.05,TOPS,6654.00,1.015
165,4096,10240,22528,6349.96,TOPS,6254.00,1.015
166,4096,5120,49152,6625.30,TOPS,6526.00,1.015
167,5120,2048,30720,6439.84,TOPS,6347.00,1.015
168,1024,10240,59392,6437.13,TOPS,6347.00,1.014
169,3072,3072,34816,5688.22,TOPS,5608.00,1.014
170,9216,1024,34816,5667.78,TOPS,5592.00,1.014
171,1024,9216,57344,5783.10,TOPS,5707.00,1.013
172,3072,6144,20480,5472.84,TOPS,5400.00,1.013
173,3072,8192,30720,6122.05,TOPS,6043.00,1.013
174,5120,5120,30720,6383.39,TOPS,6299.00,1.013
175,10240,1024,65536,6518.84,TOPS,6443.00,1.012
176,3072,8192,28672,6084.87,TOPS,6011.00,1.012
177,4096,10240,18432,6179.25,TOPS,6107.00,1.012
178,4096,6144,14336,5659.08,TOPS,5592.00,1.012
179,4096,6144,28672,6134.33,TOPS,6059.00,1.012
180,2048,7168,20480,5912.21,TOPS,5848.00,1.011
181,2048,9216,30720,5752.00,TOPS,5691.00,1.011
182,3072,10240,32768,6481.69,TOPS,6411.00,1.011
183,3072,6144,18432,5382.49,TOPS,5323.00,1.011
184,3072,8192,32768,6158.99,TOPS,6091.00,1.011
185,7168,2048,26624,5716.47,TOPS,5656.00,1.011
186,10240,2048,18432,5863.24,TOPS,5803.00,1.010
187,2048,7168,59392,6165.85,TOPS,6107.00,1.010
188,3072,3072,32768,5717.17,TOPS,5659.00,1.010
189,3072,3072,49152,5782.42,TOPS,5723.00,1.010
190,3072,8192,26624,6054.46,TOPS,5995.00,1.010
191,5120,4096,49152,6603.76,TOPS,6539.00,1.010
192,6144,5120,16384,5920.78,TOPS,5864.00,1.010
193,7168,2048,36864,5893.14,TOPS,5835.00,1.010
194,8192,3072,18432,5778.62,TOPS,5723.00,1.010
195,2048,10240,79872,6824.85,TOPS,6763.00,1.009
196,2048,9216,18432,5518.18,TOPS,5467.00,1.009
197,2048,9216,26624,5646.68,TOPS,5595.00,1.009
198,2048,9216,32768,5771.74,TOPS,5723.00,1.009
199,3072,10240,36864,6563.50,TOPS,6507.00,1.009
200,3072,10240,40960,6599.36,TOPS,6539.00,1.009
201,3072,3072,75776,5950.73,TOPS,5899.00,1.009
202,5120,5120,32768,6421.66,TOPS,6363.00,1.009
203,2048,7168,63488,6221.63,TOPS,6171.00,1.008
204,3072,3072,57344,5796.01,TOPS,5752.00,1.008
205,3072,3072,73728,5911.34,TOPS,5867.00,1.008
206,4096,10240,20480,6285.00,TOPS,6235.00,1.008
207,4096,6144,22528,5945.58,TOPS,5899.00,1.008
208,5120,6144,12288,5690.71,TOPS,5643.00,1.008
209,4096,7168,14336,5520.52,TOPS,5483.00,1.007
210,5120,2048,104448,6728.44,TOPS,6683.00,1.007
211,5120,2048,131072,6828.06,TOPS,6779.00,1.007
212,5120,3072,88064,6799.52,TOPS,6750.00,1.007
213,3072,10240,34816,6528.19,TOPS,6491.00,1.006
214,5120,3072,77824,6720.57,TOPS,6683.00,1.006
215,9216,1024,38912,5607.06,TOPS,5576.00,1.006
216,3072,3072,63488,5880.37,TOPS,5851.00,1.005
217,3072,3072,79872,5959.14,TOPS,5931.00,1.005
218,4096,7168,18432,5718.95,TOPS,5691.00,1.005
219,5120,5120,34816,6440.78,TOPS,6411.00,1.005
220,10240,2048,22528,6064.30,TOPS,6043.00,1.004
221,3072,6144,26624,5616.25,TOPS,5595.00,1.004
222,4096,10240,24576,6421.28,TOPS,6395.00,1.004
223,4096,6144,32768,6210.90,TOPS,6187.00,1.004
224,5120,5120,36864,6500.47,TOPS,6475.00,1.004
225,5120,6144,18432,6081.81,TOPS,6059.00,1.004
226,2048,7168,65536,6223.84,TOPS,6206.00,1.003
227,6144,4096,16384,5690.79,TOPS,5672.00,1.003
228,6144,5120,24576,6255.17,TOPS,6235.00,1.003
229,2048,7168,67584,6245.18,TOPS,6235.00,1.002
230,3072,3072,69632,5912.41,TOPS,5899.00,1.002
231,2048,9216,38912,5874.50,TOPS,5867.00,1.001
232,4096,10240,14336,6016.86,TOPS,6011.00,1.001
233,4096,6144,49152,6421.94,TOPS,6414.00,1.001
234,5120,3072,90112,6802.65,TOPS,6795.00,1.001
235,5120,4096,59392,6689.58,TOPS,6683.00,1.001
236,5120,5120,38912,6531.45,TOPS,6523.00,1.001
237,9216,1024,59392,5841.41,TOPS,5835.00,1.001
238,1024,9216,59392,5833.98,TOPS,5835.00,1.000
239,5120,2048,122880,6800.84,TOPS,6798.00,1.000
240,5120,3072,81920,6778.86,TOPS,6782.00,1.000
241,2048,7168,71680,6263.44,TOPS,6267.00,0.999
242,3072,3072,61440,5859.85,TOPS,5867.00,0.999
243,6144,4096,20480,5827.47,TOPS,5832.00,0.999
244,7168,2048,38912,5973.38,TOPS,5979.00,0.999
245,2048,7168,77824,6290.79,TOPS,6302.00,0.998
246,3072,3072,88064,6017.92,TOPS,6030.00,0.998
247,3072,3072,92160,6030.81,TOPS,6043.00,0.998
248,3072,6144,22528,5535.38,TOPS,5544.00,0.998
249,4096,7168,24576,5933.46,TOPS,5944.00,0.998
250,5120,7168,14336,5900.48,TOPS,5912.00,0.998
251,10240,2048,30720,6277.22,TOPS,6296.00,0.997
252,1024,9216,63488,5883.64,TOPS,5899.00,0.997
253,2048,7168,79872,6299.48,TOPS,6318.00,0.997
254,3072,5120,94208,6794.04,TOPS,6814.00,0.997
255,3072,6144,36864,5803.91,TOPS,5819.00,0.997
256,3072,8192,22528,5955.84,TOPS,5976.00,0.997
257,5120,7168,10240,5575.33,TOPS,5592.00,0.997
258,6144,5120,22528,6203.27,TOPS,6219.00,0.997
259,2048,9216,40960,5870.04,TOPS,5896.00,0.996
260,4096,7168,22528,5856.53,TOPS,5883.00,0.996
261,2048,10240,106496,6907.28,TOPS,6942.00,0.995
262,3072,8192,38912,6282.44,TOPS,6315.00,0.995
263,3072,8192,40960,6317.47,TOPS,6350.00,0.995
264,3072,8192,51200,6400.22,TOPS,6430.00,0.995
265,4096,5120,98304,6889.01,TOPS,6926.00,0.995
266,4096,6144,38912,6286.12,TOPS,6315.00,0.995
267,9216,1024,40960,5647.15,TOPS,5675.00,0.995
268,1024,9216,65536,5879.96,TOPS,5915.00,0.994
269,2048,10240,116736,6933.61,TOPS,6974.00,0.994
270,2048,9216,45056,5929.83,TOPS,5963.00,0.994
271,3072,6144,34816,5768.40,TOPS,5803.00,0.994
272,5120,4096,63488,6723.27,TOPS,6766.00,0.994
273,5120,6144,20480,6150.99,TOPS,6187.00,0.994
274,5120,6144,26624,6338.34,TOPS,6379.00,0.994
275,2048,2048,73728,5096.62,TOPS,5131.00,0.993
276,3072,3072,67584,5891.23,TOPS,5931.00,0.993
277,5120,4096,67584,6760.27,TOPS,6811.00,0.993
278,5120,7168,12288,5812.88,TOPS,5851.00,0.993
279,9216,1024,51200,5760.10,TOPS,5803.00,0.993
280,2048,10240,104448,6904.04,TOPS,6958.00,0.992
281,2048,9216,47104,5946.88,TOPS,5995.00,0.992
282,3072,3072,81920,5981.37,TOPS,6027.00,0.992
283,4096,7168,30720,6052.93,TOPS,6107.00,0.991
284,5120,5120,53248,6692.21,TOPS,6750.00,0.991
285,8192,5120,16384,6094.48,TOPS,6152.00,0.991
286,9216,1024,43008,5684.61,TOPS,5739.00,0.991
287,7168,2048,45056,6064.72,TOPS,6123.00,0.990
288,7168,2048,47104,6059.36,TOPS,6123.00,0.990
289,10240,2048,32768,6310.96,TOPS,6379.00,0.989
290,1024,9216,32768,5647.02,TOPS,5707.00,0.989
291,2048,10240,126976,6944.69,TOPS,7019.00,0.989
292,2048,2048,75776,5165.77,TOPS,5224.00,0.989
293,3072,3072,94208,6041.09,TOPS,6107.00,0.989
