GPU,M,N,K,Iterations,Performance,Performance_Unit,Efficiency,Time,Interval,Samples,Min_Power,Max_Power,Avg_Power
7,1024,1024,2048,50000,68.070134,TOPS,.447417,1763522048658,4.143000,35,148.00,154.00,152.14
3,1024,1024,4096,32000,89.676966,TOPS,.519866,1763522048868,3.817000,32,165.00,176.00,172.50
2,1024,1024,6144,31667,104.885490,TOPS,.572144,1763522049009,4.550000,38,172.00,186.00,183.32
6,1024,1024,8192,31334,111.756838,TOPS,.636645,1763522048955,5.466000,46,169.00,177.00,175.54
1,1024,1024,10240,31000,117.159628,TOPS,.603169,1763522076281,6.385000,54,181.00,197.00,194.24
4,1024,1024,12288,30667,121.849124,TOPS,.611753,1763522075555,7.142000,61,188.00,200.00,199.18
2,1024,1024,14336,30334,126.864303,TOPS,.666234,1763522075745,8.742000,74,182.00,191.00,190.42
3,1024,1024,16384,30000,128.759276,TOPS,.675334,1763522075606,9.474000,82,174.00,192.00,190.66
5,1024,1024,18432,28750,130.259693,TOPS,.657677,1763522107066,10.010000,86,182.00,201.00,198.06
0,1024,1024,20480,27500,131.871825,TOPS,.680488,1763522106233,10.431000,89,182.00,195.00,193.79
6,1024,1024,22528,26250,133.531355,TOPS,.709442,1763522106911,10.602000,92,173.00,189.00,188.22
2,1024,1024,24576,25000,133.023259,TOPS,.675416,1763522107549,10.979000,94,183.00,198.00,196.95
6,1024,1024,26624,23750,135.436714,TOPS,.710543,1763522140991,11.021000,95,181.00,191.00,190.61
1,1024,1024,28672,22500,134.740545,TOPS,.659393,1763522141110,11.278000,97,191.00,207.00,204.34
0,1024,1024,30720,21250,136.416357,TOPS,.682354,1763522141261,11.192000,97,183.00,201.00,199.92
5,1024,1024,32768,20000,137.404259,TOPS,.662955,1763522141038,11.008000,95,196.00,208.00,207.26
6,1024,1024,34816,19750,137.979281,TOPS,.709623,1763522174712,11.413000,99,177.00,195.00,194.44
1,1024,1024,36864,19500,138.714702,TOPS,.663579,1763522175601,11.887000,103,191.00,210.00,209.04
7,1024,1024,38912,19250,138.782813,TOPS,.700817,1763522175253,12.241000,106,180.00,199.00,198.03
0,1024,1024,40960,19000,138.729741,TOPS,.680915,1763522175741,12.829000,111,191.00,205.00,203.74
6,1024,1024,43008,17600,139.313646,TOPS,.709191,1763522211529,12.329000,106,184.00,197.00,196.44
4,1024,1024,45056,16200,139.186673,TOPS,.659871,1763522211575,11.794000,102,191.00,212.00,210.93
0,1024,1024,47104,14800,138.756197,TOPS,.676364,1763522211972,11.354000,97,193.00,207.00,205.15
5,1024,1024,49152,13400,139.492002,TOPS,.663520,1763522212167,10.666000,92,194.00,211.00,210.23
7,1024,1024,51200,12000,139.803212,TOPS,.701260,1763522247591,9.916000,85,187.00,200.00,199.36
4,1024,1024,53248,11867,140.779668,TOPS,.662180,1763522247331,9.988000,86,200.00,213.00,212.60
3,1024,1024,55296,11734,140.730717,TOPS,.667476,1763522247713,10.275000,89,193.00,212.00,210.84
5,1024,1024,57344,11600,141.111917,TOPS,.664087,1763522247905,10.482000,91,194.00,213.00,212.49
2,1024,1024,59392,11467,140.514557,TOPS,.684568,1763522283199,10.782000,93,192.00,206.00,205.26
7,1024,1024,61440,11334,141.559689,TOPS,.702564,1763522282795,10.909000,94,185.00,202.00,201.49
3,1024,1024,63488,11200,140.869312,TOPS,.664101,1763522283080,11.178000,97,193.00,213.00,212.12
6,1024,1024,65536,11067,141.627604,TOPS,.710660,1763522283563,11.323000,97,187.00,200.00,199.29
6,1024,2048,2048,32000,127.009956,TOPS,.731539,1763522315584,2.967000,24,167.00,177.00,173.62
2,1024,2048,4096,31334,174.587429,TOPS,.828174,1763522315493,3.787000,32,193.00,218.00,210.81
0,1024,2048,6144,30667,205.765315,TOPS,.897089,1763522316342,4.494000,38,210.00,231.00,229.37
4,1024,2048,8192,30000,224.714554,TOPS,.907204,1763522315820,5.193000,44,229.00,250.00,247.70
3,1024,2048,10240,27500,232.135231,TOPS,.938868,1763522342780,5.688000,48,228.00,250.00,247.25
0,1024,2048,12288,25000,241.707244,TOPS,.957028,1763522342211,5.898000,50,229.00,257.00,252.56
7,1024,2048,14336,22500,251.712530,TOPS,1.063783,1763522343037,6.442000,55,212.00,239.00,236.62
6,1024,2048,16384,20000,254.075601,TOPS,1.077504,1763522342986,6.402000,54,216.00,239.00,235.80
4,1024,2048,18432,19500,259.816310,TOPS,.998295,1763522371653,6.749000,57,233.00,263.00,260.26
5,1024,2048,20480,19000,261.351151,TOPS,.999507,1763522372123,7.165000,61,232.00,266.00,261.48
2,1024,2048,22528,16200,266.094579,TOPS,1.030296,1763522371871,6.566000,56,228.00,260.00,258.27
7,1024,2048,24576,13400,267.037301,TOPS,1.067892,1763522372403,5.886000,50,232.00,253.00,250.06
5,1024,2048,26624,11867,266.029968,TOPS,.991613,1763522402543,5.554000,47,248.00,271.00,268.28
1,1024,2048,28672,11600,268.968236,TOPS,1.001259,1763522402119,5.775000,49,244.00,272.00,268.63
6,1024,2048,30720,11334,270.461836,TOPS,1.074113,1763522402924,5.962000,50,229.00,254.00,251.80
0,1024,2048,32768,11067,272.654302,TOPS,1.026366,1763522403003,6.144000,52,238.00,269.00,265.65
3,1024,2048,34816,10800,272.897987,TOPS,1.030737,1763522433328,6.373000,54,230.00,267.00,264.76
0,1024,2048,36864,10534,272.840958,TOPS,1.028191,1763522433780,6.574000,56,230.00,267.00,265.36
4,1024,2048,38912,10267,275.791128,TOPS,.989314,1763522433797,6.604000,56,253.00,281.00,278.77
6,1024,2048,40960,10000,278.229765,TOPS,1.073168,1763522433534,6.693000,57,240.00,261.00,259.26
1,1024,2048,43008,9200,278.183359,TOPS,1.000407,1763522465485,6.437000,55,250.00,280.00,278.07
3,1024,2048,45056,8400,278.450498,TOPS,1.026848,1763522465474,6.138000,52,245.00,273.00,271.17
0,1024,2048,47104,7937,279.119435,TOPS,1.027118,1763522465542,6.053000,52,240.00,274.00,271.75
4,1024,2048,49152,7810,278.327321,TOPS,.991476,1763522466189,6.251000,53,251.00,282.00,280.72
2,1024,2048,51200,7682,278.879480,TOPS,1.022173,1763522498030,6.323000,54,247.00,275.00,272.83
1,1024,2048,53248,7555,280.722403,TOPS,.998301,1763522497363,6.408000,54,258.00,283.00,281.20
5,1024,2048,55296,7428,279.883083,TOPS,.991227,1763522498307,6.586000,56,253.00,284.00,282.36
0,1024,2048,57344,7300,281.729832,TOPS,1.023801,1763522498465,6.637000,56,249.00,277.00,275.18
5,1024,2048,59392,7173,282.113156,TOPS,.987203,1763522531410,6.696000,57,255.00,287.00,285.77
7,1024,2048,61440,7046,282.624240,TOPS,1.053820,1763522532132,6.794000,58,246.00,269.00,268.19
0,1024,2048,63488,6919,282.874992,TOPS,1.019442,1763522531937,6.882000,58,256.00,279.00,277.48
6,1024,2048,65536,6791,282.880359,TOPS,1.067070,1763522532075,6.994000,60,226.00,268.00,265.10
0,1024,3072,4096,30667,253.844388,TOPS,1.023689,1763522560372,3.823000,32,229.00,250.00,247.97
4,1024,3072,6144,28750,302.177548,TOPS,1.072654,1763522560277,4.254000,35,257.00,284.00,281.71
5,1024,3072,8192,25000,326.687243,TOPS,1.108729,1763522560155,4.458000,37,263.00,297.00,294.65
7,1024,3072,10240,21250,347.742152,TOPS,1.180908,1763522561031,4.350000,36,260.00,297.00,294.47
6,1024,3072,12288,19500,354.727991,TOPS,1.234910,1763522587998,4.793000,40,258.00,290.00,287.25
